iter	Passed	Remaining
902	2175	233
903	2178	231
904	2180	228
905	2183	226
906	2185	224
907	2188	221
908	2190	219
909	2192	216
910	2195	214
911	2197	212
912	2200	209
913	2202	207
914	2205	204
915	2207	202
916	2209	200
917	2212	197
918	2214	195
919	2217	192
920	2219	190
921	2221	187
922	2224	185
923	2226	183
924	2229	180
925	2231	178
926	2233	175
927	2236	173
928	2238	171
929	2241	168
930	2243	166
931	2245	163
932	2248	161
933	2250	159
934	2253	156
935	2255	154
936	2257	151
937	2260	149
938	2262	146
939	2265	144
940	2267	142
941	2269	139
942	2272	137
943	2274	134
944	2276	132
945	2279	130
946	2281	127
947	2283	125
948	2286	122
949	2288	120
950	2290	118
951	2292	115
952	2295	113
953	2297	110
954	2299	108
955	2301	105
956	2304	103
957	2306	101
958	2308	98
959	2311	96
960	2313	93
961	2315	91
962	2317	89
963	2319	86
964	2322	84
965	2324	81
966	2326	79
967	2328	76
968	2330	74
969	2333	72
970	2335	69
971	2337	67
972	2339	64
973	2342	62
974	2344	60
975	2346	57
976	2348	55
977	2350	52
978	2353	50
979	2355	48
980	2357	45
981	2359	43
982	2362	40
983	2364	38
984	2366	36
985	2368	33
986	2371	31
987	2373	28
988	2375	26
989	2377	24
990	2379	21
991	2382	19
992	2384	16
993	2386	14
994	2388	12
995	2391	9
996	2393	7
997	2395	4
998	2397	2
999	2399	0
